timestamp;x;y;theta
1677509760715;-0.7346;2.0382;0
1677509760736;-0.7346;2.0382;0
1677509760763;-0.7346;2.0382;0
1677509760779;-0.7346;2.0382;0
1677509760796;-0.7346;2.0382;0
1677509760822;-0.7346;2.0382;0
1677509760839;-0.7346;2.0382;0
1677509760862;-0.7346;2.0382;0
1677509760881;-0.7346;2.0382;0
1677509760898;-0.7346;2.0382;0
1677509760915;-0.7346;2.0382;0
1677509760938;-0.7346;2.0382;0
1677509760960;-0.7346;2.0382;0
1677509760975;-0.7346;2.0382;0
1677509760998;-0.7346;2.0382;0
1677509761018;-0.7346;2.0382;0
1677509761039;-0.7346;2.0382;0
1677509761066;-0.7346;2.0382;0
1677509761089;-0.7346;2.0382;0
1677509761097;-0.7346;2.0382;0
1677509761115;-0.7346;2.0382;0
1677509761140;-0.7346;2.0382;0
1677509761160;-0.7346;2.0382;0
1677509761185;-0.7346;2.0382;0
1677509761195;-0.7346;2.0382;0
1677509761217;-0.7346;2.0382;0
1677509761242;-0.7346;2.0382;0
1677509761263;-0.7346;2.0382;0
1677509761282;-0.7346;2.0382;0
1677509761301;-0.7346;2.0382;0
1677509761323;-0.7346;2.0382;0
1677509761339;-0.7346;2.0382;0
1677509761355;-0.7346;2.0382;0
1677509761381;-0.7346;2.0382;0
1677509761401;-0.7346;2.0382;0
1677509761418;-0.7346;2.0382;0
1677509761436;-0.7346;2.0382;0
1677509761463;-0.7346;2.0382;0
1677509761479;-0.7346;2.0382;0
1677509761495;-0.7346;2.0382;0
1677509761519;-0.7346;2.0382;0
1677509761544;-0.7346;2.0382;0
1677509761559;-0.7346;2.0382;0
1677509761579;-0.7346;2.0382;0
1677509761596;-0.7346;2.0382;0
1677509761625;-0.7346;2.0382;0
1677509761639;-0.7346;2.0382;0
1677509761666;-0.7346;2.0382;0
1677509761682;-0.7346;2.0382;0
1677509761700;-0.7346;2.0382;0
1677509761720;-0.7346;2.0382;0
1677509761745;-0.7346;2.0382;0
1677509761755;-0.7346;2.0382;0
1677509761778;-0.7346;2.0382;0
1677509761799;-0.7346;2.0382;0
1677509761818;-0.7346;2.0382;0
1677509761838;-0.7346;2.0382;0
1677509761857;-0.7346;2.0382;0
1677509761882;-0.7346;2.0382;0
1677509761897;-0.7346;2.0382;0
1677509761915;-0.7346;2.0382;0
1677509761936;-0.7346;2.0382;0
1677509761961;-0.7346;2.0382;0
1677509761980;-0.7346;2.0382;0
1677509761998;-0.7346;2.0382;0
1677509762016;-0.7346;2.0382;0
1677509762039;-0.7346;2.0382;0
1677509762057;-0.7346;2.0382;0
1677509762082;-0.7346;2.0382;0
1677509762099;-0.7346;2.0382;0
1677509762115;-0.7346;2.0382;0
1677509762136;-0.7346;2.0382;0
1677509762161;-0.7346;2.0382;0
1677509762178;-0.7346;2.0382;0
1677509762200;-0.7346;2.0382;0
1677509762216;-0.7346;2.0382;0
1677509762237;-0.7346;2.0382;0
1677509762263;-0.7346;2.0382;0
1677509762282;-0.7346;2.0382;0
1677509762297;-0.7346;2.0382;0
1677509762316;-0.7346;2.0382;0
1677509762346;-0.7346;2.0382;0
1677509762359;-0.7346;2.0382;0
1677509762379;-0.7346;2.0382;0
1677509762395;-0.7346;2.0382;0
1677509762424;-0.7346;2.0382;0
1677509762439;-0.7346;2.0382;0
1677509762463;-0.7346;2.0382;0
1677509762479;-0.7346;2.0382;0
1677509762495;-0.7346;2.0382;0
1677509762525;-0.7346;2.0382;0
1677509762543;-0.7346;2.0382;0
1677509762562;-0.7346;2.0382;0
1677509762579;-0.7346;2.0382;0
1677509762596;-0.7346;2.0382;0
1677509762624;-0.7346;2.0382;0
1677509762639;-0.7346;2.0382;0
1677509762663;-0.7346;2.0382;0
1677509762680;-0.7346;2.0382;0
1677509762696;-0.7346;2.0382;0
1677509762718;-0.7346;2.0382;0
1677509762746;-0.7346;2.0382;0
1677509762761;-0.7346;2.0382;0
1677509762779;-0.7346;2.0382;0
1677509762797;-0.7346;2.0382;0
1677509762822;-0.7346;2.0382;0
1677509762841;-0.7346;2.0382;0
1677509762862;-0.7346;2.0382;0
1677509762882;-0.7346;2.0382;0
1677509762896;-0.7346;2.0382;0
1677509762915;-0.7346;2.0382;0
1677509762946;-0.7346;2.0382;0
1677509762963;-0.7346;2.0382;0
1677509762978;-0.7346;2.0382;0
1677509762997;-0.7346;2.0382;0
1677509763015;-0.7346;2.0382;0
1677509763039;-0.7346;2.0382;0
1677509763064;-0.7346;2.0382;0
1677509763081;-0.7346;2.0382;0
1677509763097;-0.7346;2.0382;0
1677509763117;-0.7346;2.0382;0
1677509763158;-0.7346;2.0382;0
1677509763167;-0.7346;2.0382;0
1677509763183;-0.7346;2.0382;0
1677509763200;-0.7346;2.0382;0
1677509763215;-0.7346;2.0382;0
1677509763235;-0.7346;2.0382;0
1677509763255;-0.7346;2.0382;0
1677509763280;-0.7346;2.0382;0
1677509763303;-0.7346;2.0382;0
1677509763316;-0.7346;2.0382;0
1677509763343;-0.7346;2.0382;0
1677509763359;-0.7346;2.0382;0
1677509763379;-0.7346;2.0382;0
1677509763402;-0.7346;2.0382;0
1677509763417;-0.7346;2.0382;0
1677509763440;-0.7346;2.0382;0
1677509763462;-0.7346;2.0382;0
1677509763482;-0.7346;2.0382;0
1677509763498;-0.7346;2.0382;0
1677509763518;-0.7346;2.0382;0
1677509763545;-0.7346;2.0382;0
1677509763564;-0.7346;2.0382;0
1677509763584;-0.7346;2.0382;0
1677509763601;-0.7346;2.0382;0
1677509763617;-0.7346;2.0382;0
1677509763635;-0.7346;2.0382;0
1677509763663;-0.7346;2.0382;0
1677509763681;-0.7346;2.0382;0
1677509763697;-0.7346;2.0382;0
1677509763715;-0.7346;2.0382;0
1677509763742;-0.7346;2.0382;0
1677509763762;-0.7346;2.0382;0
1677509763779;-0.7346;2.0382;0
1677509763795;-0.7346;2.0382;0
1677509763823;-0.7346;2.0382;0
1677509763839;-0.7346;2.0382;0
1677509763861;-0.7346;2.0382;0
1677509763882;-0.7346;2.0382;0
1677509763898;-0.7346;2.0382;0
1677509763916;-0.7346;2.0382;0
1677509763935;-0.7346;2.0382;0
1677509763959;-0.7346;2.0382;0
1677509763979;-0.7346;2.0382;0
1677509763998;-0.7346;2.0382;0
1677509764015;-0.7346;2.0382;0
1677509764036;-0.7346;2.0382;0
1677509764064;-0.7346;2.0382;0
1677509764074;-0.7346;2.0382;0
1677509764097;-0.7346;2.0382;0
1677509764117;-0.7346;2.0382;0
1677509764146;-0.7346;2.0382;0
1677509764160;-0.7346;2.0382;0
1677509764179;-0.7346;2.0382;0
1677509764199;-0.7346;2.0382;0
1677509764215;-0.7346;2.0382;0
1677509764235;-0.7346;2.0382;0
1677509764263;-0.7346;2.0382;0
1677509764275;-0.7346;2.0382;0
1677509764298;-0.7346;2.0382;0
1677509764318;-0.7346;2.0382;0
1677509764346;-0.7346;2.0382;0
1677509764361;-0.7346;2.0382;0
1677509764380;-0.7346;2.0382;0
1677509764396;-0.7346;2.0382;0
1677509764423;-0.7346;2.0382;0
1677509764440;-0.7346;2.0382;0
1677509764463;-0.7346;2.0382;0
1677509764481;-0.7346;2.0382;0
1677509764499;-0.7346;2.0382;0
1677509764516;-0.7346;2.0382;0
1677509764535;-0.7346;2.0382;0
1677509764562;-0.7346;2.0382;0
1677509764580;-0.7346;2.0382;0
