timestamp;x;y;theta
1677495818306;2.1884;2.0382;0
1677495818318;2.1884;2.0382;0
1677495818339;2.1884;2.0382;0
1677495818366;2.1884;2.0382;0
1677495818384;2.1884;2.0382;0
1677495818403;2.1884;2.0382;0
1677495818419;2.1884;2.0382;0
1677495818439;2.1884;2.0382;0
1677495818465;2.1884;2.0382;0
1677495818485;2.1884;2.0382;0
1677495818503;2.1884;2.0382;0
1677495818520;2.1884;2.0382;0
1677495818539;2.1884;2.0382;0
1677495818557;2.1884;2.0382;0
1677495818582;2.1884;2.0382;0
1677495818600;2.1884;2.0382;0
1677495818620;2.1884;2.0382;0
1677495818644;2.1884;2.0382;0
1677495818659;2.1884;2.0382;0
1677495818683;2.1884;2.0382;0
1677495818702;2.1884;2.0382;0
1677495818719;2.1884;2.0382;0
1677495818738;2.1884;2.0382;0
1677495818766;2.1884;2.0382;0
1677495818784;2.1884;2.0382;0
1677495818803;2.1884;2.0382;0
1677495818820;2.1884;2.0382;0
1677495818839;2.1884;2.0382;0
1677495818863;2.1884;2.0382;0
1677495818882;2.1884;2.0382;0
1677495818904;2.1884;2.0382;0
1677495818920;2.1884;2.0382;0
1677495818938;2.1884;2.0382;0
1677495818983;2.1884;2.0382;0
1677495819006;2.1884;2.0382;0
1677495819020;2.1884;2.0382;0
1677495819049;2.1884;2.0382;0
1677495819059;2.1884;2.0382;0
1677495819084;2.1884;2.0382;0
1677495819102;2.1884;2.0382;0
1677495819119;2.1884;2.0382;0
1677495819139;2.1884;2.0382;0
1677495819167;2.1884;2.0382;0
1677495819184;2.1884;2.0382;0
1677495819203;2.1884;2.0382;0
1677495819220;2.1884;2.0382;0
1677495819238;2.1884;2.0382;0
1677495819260;2.1884;2.0382;0
1677495819285;2.1884;2.0382;0
1677495819305;2.1884;2.0382;0
1677495819319;2.1884;2.0382;0
1677495819340;2.1884;2.0382;0
1677495819367;2.1884;2.0382;0
1677495819382;2.1884;2.0382;0
1677495819405;2.1884;2.0382;0
1677495819419;2.1884;2.0382;0
1677495819445;2.1884;2.0382;0
1677495819462;2.1884;2.0382;0
