timestamp;x;y;theta
1677506035706;-0.7346;2.0382;0
1677506035723;-0.7346;2.0382;0
1677506035740;-0.7346;2.0382;0
1677506035755;-0.7346;2.0382;0
1677506035775;-0.7346;2.0382;0
1677506035802;-0.7346;2.0382;0
1677506035819;-0.7346;2.0382;0
1677506035836;-0.7346;2.0382;0
1677506035860;-0.7346;2.0382;0
1677506035884;-0.7346;2.0382;0
1677506035900;-0.7346;2.0382;0
1677506035920;-0.7346;2.0382;0
1677506035938;-0.7346;2.0382;0
1677506035958;-0.7346;2.0382;0
1677506035974;-0.7346;2.0382;0
1677506036002;-0.7346;2.0382;0
1677506036023;-0.7346;2.0382;0
1677506036044;-0.7346;2.0382;0
1677506036062;-0.7346;2.0382;0
1677506036074;-0.7346;2.0382;0
1677506036095;-0.7346;2.0382;0
1677506036114;-0.7346;2.0382;0
1677506036142;-0.7346;2.0382;0
1677506036155;-0.7346;2.0382;0
1677506036174;-0.7346;2.0382;0
1677506036206;-0.7346;2.0382;0
1677506036224;-0.7346;2.0382;0
1677506036240;-0.7346;2.0382;0
1677506036257;-0.7346;2.0382;0
1677506036279;-0.7346;2.0382;0
1677506036297;-0.7346;2.0382;0
1677506036324;-0.7346;2.0382;0
1677506036343;-0.7346;2.0382;0
1677506036355;-0.7346;2.0382;0
1677506036374;-0.7346;2.0382;0
1677506036396;-0.7346;2.0382;0
1677506036422;-0.7346;2.0382;0
1677506036439;-0.7346;2.0382;0
1677506036458;-0.7346;2.0382;0
1677506036474;-0.7346;2.0382;0
1677506036497;-0.7346;2.0382;0
1677506036519;-0.7346;2.0382;0
1677506036540;-0.7346;2.0382;0
1677506036558;-0.7346;2.0382;0
1677506036575;-0.7346;2.0382;0
1677506036602;-0.7346;2.0382;0
1677506036622;-0.7346;2.0382;0
1677506036635;-0.7346;2.0382;0
1677506036664;-0.7346;2.0382;0
1677506036685;-0.7346;2.0382;0
1677506036694;-0.7346;2.0382;0
1677506036720;-0.7346;2.0382;0
1677506036738;-0.7346;2.0382;0
1677506036758;-0.7346;2.0382;0
1677506036776;-0.7346;2.0382;0
1677506036794;-0.7346;2.0382;0
1677506036819;-0.7346;2.0382;0
1677506036838;-0.7346;2.0382;0
1677506036859;-0.7346;2.0382;0
1677506036875;-0.7346;2.0382;0
1677506036903;-0.7346;2.0382;0
1677506036919;-0.7346;2.0382;0
1677506036939;-0.7346;2.0382;0
1677506036961;-0.7346;2.0382;0
1677506036975;-0.7346;2.0382;0
1677506037002;-0.7346;2.0382;0
1677506037017;-0.7346;2.0382;0
1677506037035;-0.7346;2.0382;0
1677506037061;-0.7346;2.0382;0
1677506037073;-0.7346;2.0382;0
1677506037099;-0.7346;2.0382;0
1677506037121;-0.7346;2.0382;0
1677506037139;-0.7346;2.0382;0
