timestamp;x;y;theta
1677430260420;0.7269;0.5912;-45.979065868272286
1677430260441;0.7269;0.5912;-45.979065868272286
1677430260462;0.7269;0.5912;-45.979065868272286
1677430260481;0.7269;0.5912;-45.979065868272286
1677430260499;0.7269;0.5912;-45.979065868272286
1677430260523;0.7269;0.5912;-45.979065868272286
1677430260543;0.7269;0.5912;-45.979065868272286
1677430260560;0.7269;0.5912;-45.979065868272286
1677430260579;0.7269;0.5912;-45.979065868272286
1677430260601;0.7269;0.5912;-45.979065868272286
1677430260624;0.7269;0.5912;-45.979065868272286
1677430260642;0.7269;0.5912;-45.979065868272286
1677430260658;0.7269;0.5912;-45.979065868272286
1677430260680;0.7269;0.5912;-45.979065868272286
1677430260699;0.7269;0.5912;-45.979065868272286
1677430260723;0.7269;0.5912;-45.979065868272286
1677430260739;0.7269;0.5912;-45.979065868272286
1677430260760;0.7269;0.5912;-45.979065868272286
1677430260786;0.7269;0.5912;-45.979065868272286
1677430260802;0.7269;0.5912;-45.979065868272286
1677430260820;0.7269;0.5912;-45.979065868272286
1677430260841;0.7269;0.5912;-45.979065868272286
1677430260863;0.7269;0.5912;-45.979065868272286
1677430260881;0.7269;0.5912;-45.979065868272286
1677430260901;0.7269;0.5912;-45.979065868272286
1677430260949;0.7269;0.5912;-45.979065868272286
1677430260959;0.7269;0.5912;-45.979065868272286
1677430260982;0.7269;0.5912;-45.979065868272286
1677430260999;0.7269;0.5912;-45.979065868272286
1677430261023;0.7269;0.5912;-45.979065868272286
1677430261198;0.7269;0.5912;-45.979065868272286
1677430261224;0.7269;0.5912;-45.979065868272286
1677430261241;0.7269;0.5912;-45.979065868272286
1677430261258;0.7269;0.5912;-45.979065868272286
1677430261282;0.7269;0.5912;-45.979065868272286
1677430261299;0.7269;0.5912;-45.979065868272286
1677430261325;0.7269;0.5912;-45.979065868272286
1677430261341;0.7269;0.5912;-45.979065868272286
1677430261359;0.7269;0.5912;-45.979065868272286
1677430261377;0.7269;0.5912;-45.979065868272286
1677430261403;0.7269;0.5912;-45.979065868272286
1677430261424;0.7269;0.5912;-45.979065868272286
1677430261443;0.7269;0.5912;-45.979065868272286
1677430261459;0.7269;0.5912;-45.979065868272286
1677430261482;0.7269;0.5912;-45.979065868272286
1677430261507;0.7269;0.5912;-45.979065868272286
1677430261523;0.7269;0.5912;-45.979065868272286
1677430261546;0.7269;0.5912;-45.979065868272286
1677430261560;0.7269;0.5912;-45.979065868272286
1677430261582;0.7269;0.5912;-45.979065868272286
1677430261599;0.7269;0.5912;-45.979065868272286
1677430261625;0.7269;0.5912;-45.979065868272286
1677430261644;0.7269;0.5912;-45.979065868272286
1677430261661;0.7269;0.5912;-45.979065868272286
1677430261682;0.7269;0.5912;-45.979065868272286
1677430261700;0.7269;0.5912;-45.979065868272286
1677430261723;0.7269;0.5912;-45.979065868272286
1677430261742;0.7269;0.5912;-45.979065868272286
1677430261760;0.7269;0.5912;-45.979065868272286
1677430261783;0.7269;0.5912;-45.979065868272286
1677430261804;0.7269;0.5912;-45.979065868272286
1677430261818;0.7269;0.5912;-45.979065868272286
1677430261842;0.7269;0.5912;-45.979065868272286
1677430261859;0.7269;0.5912;-45.979065868272286
1677430261881;0.7269;0.5912;-45.979065868272286
1677430261898;0.7269;0.5912;-45.979065868272286
1677430261923;0.7269;0.5912;-45.979065868272286
1677430261939;0.7269;0.5912;-45.979065868272286
1677430261960;0.7269;0.5912;-45.979065868272286
1677430261987;0.7269;0.5912;-45.979065868272286
1677430262005;0.7269;0.5912;-45.979065868272286
1677430262025;0.7269;0.5912;-45.979065868272286
1677430262046;0.7269;0.5912;-45.979065868272286
1677430262059;0.7269;0.5912;-45.979065868272286
1677430262081;0.7269;0.5912;-45.979065868272286
1677430262107;0.7269;0.5912;-45.979065868272286
1677430262123;0.7269;0.5912;-45.979065868272286
1677430262144;0.7269;0.5912;-45.979065868272286
1677430262160;0.7269;0.5912;-45.979065868272286
1677430262181;0.7269;0.5912;-45.979065868272286
